Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Instantiate";1820.961;1820.961;1820.961;1;1;1;6;6;1820.94379073661;1820.944;1820.961;1820.961;64809;64809;64809;64809;1;1;0.0054;33.1826;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCWorldManager.Start() [Invoke]";1690.216;1690.216;1690.216;1;1;1;5;5;1690.21630859375;1690.216;1690.216;1690.216;1;1;1;1;1;1;1690.216;1690.216;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Start() [Invoke]";1548.957;1548.957;1548.957;1;1;1;5;5;1548.95677185059;1548.957;1548.957;1548.957;9;9;9;9;1;1;137.3496;211.9813;1;1;0
"Instantiate.Produce";1248.283;1248.283;1248.283;1;1;1;7;7;1248.26479496807;1248.265;1248.283;1248.283;64809;64809;64809;64809;1;1;0.003;33.1306;1;1;0
"Instantiate.Awake";260.3065;260.3065;260.3065;1;1;1;7;7;260.312298864941;260.3123;260.3065;260.3065;64809;64809;64809;64809;1;1;0.0013;0.1213;1;1;0
"Instantiate.Copy";218.2839;218.2839;218.2839;1;1;1;7;7;218.261798671549;218.2618;218.2839;218.2839;64809;64809;64809;64809;1;1;0.0001;0.6927;1;1;0
"GameObject.Deactivate";150.4506;150.4506;150.4506;1;1;1;6;6;150.442799013807;150.4428;150.4506;150.4506;49662;49662;49662;49662;1;1;0.0006;0.2527;1;1;0
"GameObject.ActivateAwakeRecursively";135.1543;135.1543;135.1543;1;1;1;7;7;135.136799071508;135.1368;135.1543;135.1543;49698;49698;49698;49698;1;1;0.0005;0.2515;1;1;0
"CheckAllowDestructionRecursive [Editor Only]";82.37807;82.37807;82.37807;1;1;1;6;8;82.4432990104397;82.4433;82.37807;82.37807;289902;289902;289902;289902;1;1;0;0.0548;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Run() [Coroutine: MoveNext] [Invoke]";68.00831;68.00831;68.00831;1;1;1;6;6;68.0083011388779;68.0083;68.00831;68.00831;18;18;18;18;1;1;1.083;36.6118;1;1;0
"TransformHandle.SetHierarchyCapacity";20.89;20.89;20.89;1;1;1;8;8;20.8900001528673;20.89;20.89;20.89;16;16;16;16;1;1;0.0047;11.182;1;1;0
"Unaccounted time between: Profiler.SessionMetadata and PlayerLoop";20.2017;20.2017;20.2017;1;1;1;1;1;20.2017002105713;20.2017;20.2017;20.2017;1;1;1;1;1;1;20.2017;20.2017;1;1;0
"EditorLoop";19.2874;0.0367;1772.068;311;1859;1;1;1;40815.0212405613;21.95536;17.4011;21.9422;7433;4;1;4;1859;1;0.0134;1397.624;2;1;20.1379
"gameObjectChangedScene.Invoke";18.01047;18.01047;18.01047;1;1;1;7;8;18.0074995885734;18.0075;18.01047;18.01047;64827;64827;64827;64827;1;1;0.0001;0.0189;1;1;0
"Mono.JIT";15.3515;0.2321;91.82645;2;4;1;4;11;107.40999957826;35.80333;0.2321;15.3515;1067;121;3;943;3;1;0.012;2.5739;1;1;0
"WFCPropagateJob (Burst)";13.1337;13.1337;13.1337;1;1;1;9;9;13.1337001249194;13.1337;13.1337;13.1337;18;18;18;18;1;1;0.0382;12.3161;1;1;0
"RenderLoop.ScheduleDraw";9.738899;6.2026;19.4184;1496;138;1421;10;11;17706.6892563725;9.529973;8.388999;10.405;14864;8;8;8;1858;1;0.0003;5.8547;604;1421;7.9491
"PlayerLoop";9.668099;0.0007;4942.563;1183;1859;1;1;1;23041.8357181133;12.39475;9.2701;10.0684;5575;3;1;3;1859;1;0.0002;4908.714;200;1;8.885799
"RenderPlayModeViewCameras";9.0215;7.683;33.8472;360;522;1;2;2;16933.0285396576;9.113579;8.6565;9.4153;1858;1;1;1;1858;1;7.683;33.8472;522;1;8.3386
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";8.7542;7.442;32.8553;1378;522;1;3;3;16387.1201562881;8.819763;8.3547;9.1358;1858;1;1;1;1858;1;7.442;32.8553;522;1;7.8572
"Inl_UniversalRenderTotal";8.7103;7.4034;32.8002;1263;522;1;4;4;16304.6295776367;8.775366;8.3142;9.0911;1858;1;1;1;1858;1;7.4034;32.8002;522;1;7.8061
"Inl_RenderCameraStack";8.6689;7.3658;31.2414;1778;522;1;5;5;16223.3612561226;8.731627;8.2724;9.0477;1858;1;1;1;1858;1;7.3658;31.2414;522;1;7.7527
"SortingGroup.UpdateRenderer";8.406106;8.406106;8.406106;1;1;1;8;8;8.40349980693281;8.4035;8.406106;8.406106;122989;122989;122989;122989;1;1;0;0.0403;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCCell..ctor() [Invoke]";8.133658;8.133658;8.133658;1;1;1;8;8;8.13359989301534;8.1336;8.133658;8.133658;7200;7200;7200;7200;1;1;0.0007;0.0223;1;1;0
"LargeAllocation.Free";7.8487;7.8487;7.8487;1;1;1;6;9;7.84869995713234;7.8487;7.8487;7.8487;5;5;5;5;1;1;0.3597;2.8808;1;1;0
"Inl_ScriptableRenderContext.Submit";5.9485;4.4044;11.0914;1014;1459;1421;6;6;10938.9188785553;5.88747;5.4499;6.2632;1858;1;1;1;1858;1;4.4044;11.0914;1459;1421;4.9293
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";5.6654;4.1212;10.6725;1469;1459;1421;7;7;10406.8949713707;5.601128;5.1491;5.9985;1858;1;1;1;1858;1;4.1212;10.6725;1459;1421;4.6315
"ExecuteRenderGraph";5.6284;4.0383;10.6244;802;1800;1421;8;8;10338.3880734444;5.564256;5.1154;5.9668;1858;1;1;1;1858;1;4.0383;10.6244;1800;1421;4.6034
"RenderLoop.DrawSRPBatcher";3.9994;2.6599;8.7021;173;1413;1421;12;12;7265.49648285517;3.910386;3.3769;4.305501;44592;24;24;24;1858;1;0.0026;0.8223;412;1854;3.0789
"LogStringToConsole";2.9136;2.9136;2.9136;1;1;1;6;6;2.91360002011061;2.9136;2.9136;2.9136;12;12;12;12;1;1;0.103;0.5984;1;1;0
"MeshRendererFinalizeUpdate";2.8015;2.8015;2.8015;1;1;1;5;5;2.80150008201599;2.8015;2.8015;2.8015;1;1;1;1;1;1;2.8015;2.8015;1;1;0
"TextureStreamingManager.RemoveRenderer";2.707472;2.707472;2.707472;1;1;1;8;8;2.70789993619837;2.7079;2.707472;2.707472;106933;106933;106933;106933;1;1;0;0.0047;1;1;0
"DrawDepthNormalPrepass";2.6441;1.5903;5.8662;737;66;1421;9;9;5155.71779084206;2.774875;2.2702;3.2624;1858;1;1;1;1858;1;1.5903;5.8662;66;1421;2.2487
"SRPBatcher.Flush";2.6206;1.7992;5.645799;304;604;1421;13;14;4805.98868416584;2.586646;2.3032;2.8209;81752;44;44;44;1858;1;0.0002;0.5938;34;586;2.0293
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";2.5749;2.2663;17.0426;784;1552;1;6;6;4931.00358867645;2.653931;2.4552;2.7845;1858;1;1;1;1858;1;2.2663;17.0426;1552;1;2.5748
"UnityEngine.CoreModule.dll!::ExtractCompilerFlags.Invoke() [Invoke]";2.3251;2.3251;2.3251;1;1;1;7;7;2.32510002702475;2.3251;2.3251;2.3251;2;2;2;2;1;1;0.1209;2.2042;1;1;0
"WaitForJobGroupID";2.0453;1.0733;19.4087;731;2;1;6;13;3823.69479197782;2.057963;1.9406;2.164;15924;9;3;43;1858;1;0.0005;12.3261;265;1;2.1453
"DrawOpaqueObjects";1.8422;1.42;4.1245;1038;976;1854;9;9;3777.2159897089;2.032947;1.63;2.3838;1858;1;1;1;1858;1;1.42;4.1245;976;1854;1.8017
"InitialActionStateCheck";1.7426;1.7426;1.7426;1;1;1;6;6;1.74260002793744;1.7426;1.7426;1.7426;2;2;2;2;1;1;0.0068;1.7358;1;1;0
"Burst.Compiler.IL.dll!Burst.Compiler.IL.Jit::JitCompilerService.CompileInternal() [Invoke]";1.7152;1.7152;1.7152;1;1;1;7;7;1.71520000696182;1.7152;1.7152;1.7152;2;2;2;2;1;1;0.8394;0.8758;1;1;0
"UnityEngine.CoreModule.dll!UnityEngine::StackTraceUtility.ExtractStackTrace() [Invoke]";1.7034;1.7034;1.7034;1;1;1;7;7;1.70340000465512;1.7034;1.7034;1.7034;12;12;12;12;1;1;0.0609;0.4638;1;1;0
"EngineJob";1.3245;0.1658;2.0351;18;1628;2;7;14;2450.46259277005;1.318871;1.1688;1.4943;19858;11;2;21;1858;1;0.0002;1.2042;36;1822;1.496
"CullScriptable";1.1775;1.0061;3.3673;1096;1029;1;7;7;2234.9303945303;1.202869;1.1173;1.2712;1858;1;1;1;1858;1;1.0061;3.3673;1029;1;1.2165
"RenderLoop.Prepare";1.1499;1.1499;1.1499;2;2;2;8;9;1.14990001916885;1.1499;1.1499;1.1499;2;2;2;2;1;2;0.5734;0.5765;2;2;0
"Unity.RenderPipelines.Core.Runtime.dll!::SharedObjectPool`1..cctor()";1.0966;1.0966;1.0966;1;1;1;9;9;1.09660000354052;1.0966;1.0966;1.0966;8;8;8;8;1;1;0.084;0.1919;1;1;0
"EndRenderQueueExtraction";1.0503;0.8716;1.6705;692;1552;1528;8;9;1989.78029652312;1.070926;0.9979;1.1342;3716;2;2;2;1858;1;0.0055;1.3109;2;1018;1.0802
"CullResults.CreateSharedRendererScene";0.9399;0.799;1.3562;1745;1697;1018;8;8;1787.00579428673;0.96179;0.8931;1.0211;1858;1;1;1;1858;1;0.799;1.3562;1697;1018;0.9599
"ExecuteRenderQueueJob";0.8955;0.0719;1.398;302;786;1018;8;12;1584.04199600592;0.8525522;0.6686;0.9849;4824;3;1;4;1858;1;0.0543;1.2039;1403;1822;1.0043
"TransformHandle.SetParent";0.8315001;0.8315001;0.8315001;1;1;1;6;6;0.831499977037311;0.8315;0.8315001;0.8315001;18;18;18;18;1;1;0.0192;0.3327;1;1;0
"WFCFindLowestEntropyJob (Burst)";0.7573;0.7573;0.7573;1;1;1;9;9;0.757299969089217;0.7573;0.7573;0.7573;6;6;6;6;1;1;0.0017;0.7473;1;1;0
"UnityEditor.CoreModule.dll!UnityEditor::EditorApplicationLayout.FinalizePlaymodeLayout() [Invoke]";0.725;0.725;0.725;1;1;1;3;3;0.725000023841858;0.725;0.725;0.725;1;1;1;1;1;1;0.725;0.725;1;1;0
"Unity.Collections.dll!Unity.Collections::NativeParallelHashMap`2..cctor()";0.6894;0.6894;0.6894;1;1;1;8;8;0.689400017261505;0.6894;0.6894;0.6894;1;1;1;1;1;1;0.6894;0.6894;1;1;0
"UpdateScene";0.6052;0.4547;4908.712;124;1628;1;2;2;6106.65800079703;3.286684;0.5524;0.6774;1858;1;1;1;1858;1;0.4547;4908.712;1628;1;0.5461
"Texture2D.GetPixels";0.5684999;0.5684999;0.5684999;1;1;1;6;6;0.568500001914799;0.5685;0.5684999;0.5684999;54;54;54;54;1;1;0.0022;0.1764;1;1;0
"UnsafeUtility.Malloc";0.5244998;0.5244998;0.5244998;1;1;1;7;9;0.52449999518285;0.5245;0.5244998;0.5244998;182;182;182;182;1;1;0.0001;0.2861;1;1;0
