Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1;48405;0
1;2;445.993;48405.00390625
2;3;142.5133;48850.996887207
3;4;136.2405;48993.5101776123
4;5;309.5483;49129.7506713867
5;6;68.07951;49439.2989501953
6;7;61.5254;49507.3784561157
7;8;62.1388;49568.9038543701
8;9;57.6362;49631.0426559448
9;10;53.1832;49688.678855896
10;11;52.9762;49741.8620567322
11;12;53.9098;49794.8382568359
12;13;72.5872;49848.7480583191
13;14;67.624;49921.3352546692
14;15;58.656;49988.9592552185
15;16;56.1036;50047.6152534485
16;17;52.299;50103.7188529968
17;18;44.0136;50156.0178527832
18;19;43.7084;50200.031452179
19;20;41.9745;50243.7398529053
20;21;40.7903;50285.7143516541
21;22;42.3749;50326.504650116
22;23;43.8648;50368.8795509338
23;24;52.2761;50412.7443504333
24;25;59.1572;50465.020450592
25;26;57.8908;50524.1776504517
26;27;51.3951;50582.0684509277
27;28;54.4302;50633.4635505676
28;29;55.1954;50687.8937492371
29;30;52.38;50743.0891494751
30;31;301.1176;50795.4691505432
31;32;57.7835;51096.5867347717
32;33;55.4047;51154.3702354431
33;34;53.1112;51209.774936676
34;35;55.2406;51262.8861351013
35;36;51.8359;51318.1267356873
36;37;53.2262;51369.9626350403
37;38;56.9534;51423.188835144
38;39;45.8616;51480.1422348022
39;40;42.5851;51526.0038337708
40;41;44.3393;51568.5889320374
41;42;45.2634;51612.9282302856
42;43;43.6903;51658.1916313171
43;44;43.5268;51701.8819313049
44;45;51.0464;51745.4087295532
45;46;45.5393;51796.4551277161
46;47;47.4269;51841.9944267273
47;48;50.5911;51889.4213256836
48;49;44.4494;51940.012424469
49;50;41.1697;51984.4618225098
50;51;41.5241;52025.6315231323
51;52;47.7798;52067.1556243896
52;53;47.0333;52114.9354248047
53;54;48.2467;52161.9687232971
54;55;54.5616;52210.215423584
55;56;50.2502;52264.7770233154
56;57;45.4174;52315.0272216797
57;58;49.5205;52360.4446220398
58;59;51.4176;52409.9651222229
59;60;47.7412;52461.3827209473
60;61;52.2718;52509.1239204407
61;62;48.8113;52561.3957214355
62;63;186.1844;52610.2070198059
63;64;57.6031;52796.3914222717
64;65;52.3259;52853.9945220947
