Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Instantiate";2607.784;2607.784;2607.784;1;1;1;6;6;2607.79719102569;2607.797;2607.784;2607.784;64809;64809;64809;64809;1;1;0.0056;26.1221;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCWorldManager.Start() [Invoke]";2221.839;2221.839;2221.839;1;1;1;5;5;2221.83911132813;2221.839;2221.839;2221.839;1;1;1;1;1;1;2221.839;2221.839;1;1;0
"Instantiate.Produce";1980.527;1980.527;1980.527;1;1;1;7;7;1980.46809412912;1980.468;1980.527;1980.527;64809;64809;64809;64809;1;1;0.003;26.0738;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Start() [Invoke]";1962.627;1962.627;1962.627;1;1;1;5;5;1962.62745666504;1962.627;1962.627;1962.627;9;9;9;9;1;1;177.9023;277.557;1;1;0
"Instantiate.Awake";297.7022;297.7022;297.7022;1;1;1;7;7;297.716698776465;297.7167;297.7022;297.7022;64809;64809;64809;64809;1;1;0.0014;0.4052;1;1;0
"Instantiate.Copy";237.744;237.744;237.744;1;1;1;7;7;237.745598575435;237.7456;237.744;237.744;64809;64809;64809;64809;1;1;0.0001;0.5493;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Run() [Coroutine: MoveNext] [Invoke]";169.8401;169.8401;169.8401;1;1;1;6;6;169.840104818344;169.8401;169.8401;169.8401;18;18;18;18;1;1;1.345;137.5852;1;1;0
"GameObject.Deactivate";145.4908;145.4908;145.4908;1;1;1;6;6;145.4840990745;145.4841;145.4908;145.4908;49662;49662;49662;49662;1;1;0.0006;0.2099;1;1;0
"GameObject.ActivateAwakeRecursively";130.7004;130.7004;130.7004;1;1;1;7;7;130.678699015116;130.6787;130.7004;130.7004;49698;49698;49698;49698;1;1;0.0005;0.2084;1;1;0
"CheckAllowDestructionRecursive [Editor Only]";81.33871;81.33871;81.33871;1;1;1;6;8;81.4019990120578;81.402;81.33871;81.33871;297457;297457;297457;297457;1;1;0;0.0562;1;1;0
