Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.RunWFC() [Coroutine: MoveNext] [Invoke]";5519.42;5519.42;5519.42;1;1;1;6;6;5519.4195022583;5519.419;5519.42;5519.42;36;36;36;36;1;1;117.8432;222.3279;1;1;0
"Instantiate";4623.486;4623.486;4623.486;1;1;1;6;7;4623.56198224006;4623.562;4623.486;4623.486;180009;180009;180009;180009;1;1;0.0049;41.2979;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Start() [Invoke]";4197.101;4197.101;4197.101;1;1;1;5;5;4197.10040283203;4197.101;4197.101;4197.101;9;9;9;9;1;1;369.1097;618.8749;1;1;0
"Assembly-CSharp.dll!WFC_Sudoku::WFCWorldManager.Start() [Invoke]";4155.856;4155.856;4155.856;1;1;1;5;5;4155.8564453125;4155.856;4155.856;4155.856;1;1;1;1;1;1;4155.856;4155.856;1;1;0
"Instantiate.Produce";3263.736;3263.736;3263.736;1;1;1;7;8;3263.672084013;3263.672;3263.736;3263.736;180009;180009;180009;180009;1;1;0.0026;41.2455;1;1;0
"Instantiate.Awake";689.5823;689.5823;689.5823;1;1;1;7;8;689.80279612809;689.8028;689.5823;689.5823;180009;180009;180009;180009;1;1;0.0014;0.208;1;1;0
"Instantiate.Copy";478.73;478.73;478.73;1;1;1;7;8;478.412497161102;478.4125;478.73;478.73;180009;180009;180009;180009;1;1;0.0001;0.7259;1;1;0
"GameObject.Deactivate";405.4939;405.4939;405.4939;1;1;1;6;6;405.732297401817;405.7323;405.4939;405.4939;164862;164862;164862;164862;1;1;0.0006;0.0652;1;1;0
"GameObject.ActivateAwakeRecursively";360.6163;360.6163;360.6163;1;1;1;7;7;360.519096951059;360.5191;360.6163;360.6163;164898;164898;164898;164898;1;1;0.0005;0.0645;1;1;0
"CheckAllowDestructionRecursive [Editor Only]";248.9869;248.9869;248.9869;1;1;1;6;9;248.126996668638;248.127;248.9869;248.9869;996406;996406;996406;996406;1;1;0;0.2134;1;1;0
"TransformHandle.SetHierarchyCapacity";72.1788;72.1788;72.1788;1;1;1;8;9;72.1788005947601;72.1788;72.1788;72.1788;18;18;18;18;1;1;0.0021;35.7897;1;1;0
"Inl_NRPRGComp_SetupContextData";50.8229;50.8229;50.8229;1;1;1;8;8;50.8228988647461;50.8229;50.8229;50.8229;1;1;1;1;1;1;50.8229;50.8229;1;1;0
"gameObjectChangedScene.Invoke";46.13363;46.13363;46.13363;1;1;1;7;9;46.1673988112743;46.1674;46.13363;46.13363;180027;180027;180027;180027;1;1;0.0001;0.0304;1;1;0
"LargeAllocation.Free";31.321;31.321;31.321;1;1;1;6;10;31.3210000097752;31.321;31.321;31.321;26;26;26;26;1;1;0.3441;4.7557;1;1;0
