Marker Name;Left Median;Right Median;Diff;Abs Diff;Count Left;Count Right;Count Delta
Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.RunWFC() [Coroutine: MoveNext] [Invoke];-;25554;25554;25554;-;36;36
LogStringToConsole;2.91;24027;24024;24024;12;172812;172800
Assembly-CSharp.dll!WFC_Sudoku::WFCWorldManager.Start() [Invoke];1690.2;19218;17528;17528;1;1;0
Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Start() [Invoke];1549.0;17952;16403;16403;9;9;0
UnityEngine.CoreModule.dll!UnityEngine::StackTraceUtility.ExtractStackTrace() [Invoke];1.70;14544;14542;14542;12;172812;172800
Instantiate;1821.0;5492.7;3671.8;3671.8;64809;180009;115200
Instantiate.Produce;1248.3;3584.7;2336.5;2336.5;64809;180009;115200
Instantiate.Awake;260.31;918.30;657.99;657.99;64809;180009;115200
Instantiate.Copy;218.28;683.08;464.80;464.80;64809;180009;115200
GameObject.Deactivate;150.45;401.68;251.23;251.23;49662;164862;115200
CheckAllowDestructionRecursive [Editor Only];82.38;299.64;217.27;217.27;289902;950982;661080
GameObject.ActivateAwakeRecursively;135.15;345.59;210.44;210.44;49698;164898;115200
TransformHandle.SetHierarchyCapacity;20.89;149.95;129.06;129.06;16;18;2
gameObjectChangedScene.Invoke;18.01;93.35;75.34;75.34;64827;180027;115200
Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Run() [Coroutine: MoveNext] [Invoke];68.01;-;-68.01;68.01;18;-;-18
GC.Collect;-;62.48;62.48;62.48;-;8;8
SortingGroup.UpdateRenderer;8.41;35.46;27.05;27.05;122989;347296;224307
Unaccounted time between: Profiler.SessionMetadata and PlayerLoop;20.20;-;-20.20;20.20;1;-;-1
LargeAllocation.Free;7.85;26.98;19.13;19.13;5;19;14
EditorLoop;19.29;33.21;13.92;13.92;7433;820;-6613
WFCPropagateJob (Burst);13.13;-;-13.13;13.13;18;-;-18
TextureStreamingManager.RemoveRenderer;2.71;8.23;5.52;5.52;106933;330820;223887
Mono.JIT;15.35;11.80;-3.55;3.55;1067;821;-246
RenderLoop.Prepare;1.15;4.30;3.15;3.15;2;134;132
RenderLoop.ScheduleDraw;9.74;12.66;2.93;2.93;14864;1640;-13224
PlayerLoop;9.67;12.27;2.60;2.60;5575;615;-4960
UnityEngine.CoreModule.dll!::ExtractCompilerFlags.Invoke() [Invoke];2.33;-;-2.33;2.33;2;-;-2
RenderPlayModeViewCameras;9.02;11.33;2.31;2.31;1858;205;-1653
UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke];8.75;10.93;2.17;2.17;1858;205;-1653
Inl_UniversalRenderTotal;8.71;10.85;2.14;2.14;1858;205;-1653
Inl_RenderCameraStack;8.67;10.78;2.11;2.11;1858;205;-1653
Burst.Compiler.IL.dll!Burst.Compiler.IL.Jit::JitCompilerService.CompileInternal() [Invoke];1.72;-;-1.72;1.72;2;-;-2
Inl_ScriptableRenderContext.Submit;5.95;7.57;1.62;1.62;1858;205;-1653
UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera;5.67;7.15;1.49;1.49;1858;205;-1653
ExecuteRenderGraph;5.63;7.11;1.48;1.48;1858;205;-1653
RenderLoop.DrawSRPBatcher;4.00;5.38;1.38;1.38;44592;4920;-39672
DrawDepthNormalPrepass;2.64;3.94;1.29;1.29;1858;205;-1653
Assembly-CSharp.dll!WFC_Sudoku::WFCCell..ctor() [Invoke];8.13;7.30;-0.83;0.83;7200;7200;0
SRPBatcher.Flush;2.62;3.45;0.83;0.83;81752;7380;-74372
WFCFindLowestEntropyJob (Burst);0.76;-;-0.76;0.76;6;-;-6
Profiler.ParseThreadData;0.46;1.19;0.73;0.73;8;311;303
Unity.Collections.dll!Unity.Collections::NativeParallelHashMap`2..cctor();0.69;-;-0.69;0.69;1;-;-1
DrawOpaqueObjects;1.84;2.53;0.69;0.69;1858;205;-1653
enterPlayModePostStart.Invoke;0.01;0.55;0.54;0.54;1;1;0
File.Open;0.08;0.62;0.54;0.54;1;3;2
UnsafeUtility.Malloc;0.52;0.02;-0.50;0.50;182;38;-144
Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera;2.57;3.07;0.50;0.50;1858;205;-1653
File.Read;-;0.42;0.42;0.42;-;2;2
MeshRendererFinalizeUpdate;2.80;3.19;0.39;0.39;1;1;0
WaitForJobGroupID;2.05;2.43;0.38;0.38;15924;1855;-14069
Texture.AwakeFromLoad;-;0.29;0.29;0.29;-;18;18
LargeAllocation.Alloc;0.29;0.02;-0.27;0.27;7;30;23
mscorlib.dll!System::Delegate.get_Method() [Invoke];0.27;-;-0.27;0.27;2;-;-2
Idle;0.49;0.74;0.25;0.25;9462;910;-8552
UpdateScene;0.61;0.85;0.25;0.25;1858;205;-1653
Unity.Collections.dll!Unity.Collections::NativeQueue`1..cctor();0.25;-;-0.25;0.25;1;-;-1
InitialActionStateCheck;1.74;1.50;-0.24;0.24;2;2;0
CullScriptable;1.18;1.37;0.19;0.19;1858;205;-1653
UnityEditor.CoreModule.dll!UnityEditor::EditorApplicationLayout.FinalizePlaymodeLayout() [Invoke];0.73;0.55;-0.17;0.17;1;1;0
EngineJob;1.32;1.49;0.17;0.17;19858;2866;-16992
Assembly-CSharp.dll!WFC_Sudoku::WFCBuilder.Awake() [Invoke];0.07;0.23;0.16;0.16;9;9;0
Texture2D.GetPixels;0.57;0.72;0.15;0.15;54;54;0
Shadows.ScheduleRenderJobs;0.38;0.24;-0.14;0.14;7432;820;-6612
Draw Main Light Shadowmap;0.41;0.27;-0.14;0.14;1858;205;-1653
MainLightShadow;0.41;0.27;-0.14;0.14;1858;205;-1653
UnityEngine.CoreModule.dll!::TypeFlagsCache`1..cctor();0.13;-;-0.13;0.13;4;-;-4
Shadows.ExecuteDrawShadows;0.40;0.27;-0.13;0.13;7432;820;-6612
DestroyCullResults;0.19;0.32;0.13;0.13;1858;205;-1653
UnsafeUtility.Free;0.13;-;-0.13;0.13;144;-;-144
Unity.Collections.dll!Unity.Collections::NativeReference`1..cctor();0.12;-;-0.12;0.12;1;-;-1
RenderLoop.CleanupNodeQueue;0.22;0.34;0.11;0.11;13006;1435;-11571
PhysX.BpSAP.postUpdateWork;0.13;0.01;-0.11;0.11;1;1;0
Shadows.DrawSRPBatcher;0.26;0.16;-0.11;0.11;24154;1230;-22924
UnityEngine.PhysicsModule.dll!UnityEngine::Physics..cctor();0.07;0.17;0.11;0.11;1;1;0
CullResults.CreateSharedRendererScene;0.94;1.04;0.10;0.10;1858;205;-1653
Inl_ExecuteRenderGraph;0.52;0.62;0.10;0.10;1858;205;-1653
Inl_RecordRenderGraph;0.52;0.62;0.10;0.10;1858;205;-1653
